Sample,Year,Month,Day,Bulk vs. Seq,Sample,Study Site,,pH,pH stat,NH4,NH4 stat,Ordinal date,Na,Mg,K,Ca,Total Al,Si,S,ICP,,Cl,SO4,NO3,IC,Total N,TN,DON,,DOC,DOC,,Ca_Al Ratio,ADP,
38901,2007,12,17,Bulk,SF,YP,,5.79,D,2.79,D,733027,17.83,29.62,142.45,30.44,1.11,1.78,,D,38901,28.56,112.55,4.24,D,27.17,D,20.14,38901,800.68,D ,Y,13.7117117117,N/A,
38902,2007,12,17,Bulk,LL,LL,,6.19,D,3.15,D,733027,45.24,102.86,296.16,93.81,8.15,6.76,,D,38902,117.03,131.72,23.67,D,78.20,D,51.38,38902,2260.59,D ,Y,5.75521472393,N/A,
38903,2007,12,17,Bulk,LL,LL,,6.61,D,5.37,D,733027,30.01,105.33,263.68,68.36,5.19,3.92,,D,38903,75.64,106.34,0.51,D,42.86,D,36.98,38903,1602.34,D ,Y,6.58574181118,N/A,
38904,2008,2,7,Bulk,BP,BP,,7.38,D,669.20,D,733079,103.52,113.97,411.25,82.58,0.19,89.36,,D,38904,72.67,170.89,49.04,D,172.88,E,-545.36,38904,898.87,D ,Y,217.315789474,N/A,
38905,2008,2,7,Bulk,TF,BE,,6.94,D,101.83,D,733079,93.08,21.39,40.15,30.44,0.00,11.75,,D,38905,27.60,105.17,57.15,D,184.25,E,25.27,38905,405.38,D ,Y,N/A,N/A,
38906,2008,2,7,Bulk,TF,YP,,6.92,D,136.85,D,733079,101.35,29.62,37.85,32.93,0.37,12.46,,D,38906,32.31,117.32,60.75,D,186.83,E,-10.78,38906,,E,Y,44.5,N/A,
38907,2008,2,7,Bulk,SF,BE,,3.65,D,224.40,D,733079,128.32,269.08,287.97,792.91,6.30,20.65,,D,38907,159.63,1449.78,272.82,D,584.29,D,87.07,38907,1086.02,D ,Y,62.9293650794,N/A,
38908,2008,2,7,Bulk,SF,YP,,5.63,D,32.26,D,733079,29.58,46.90,99.74,51.90,1.48,7.48,,D,,,,,E,150.95,D,118.69,38908,,E,Y,17.5337837838,N/A,
38909,2008,2,7,Bulk,LL,LL,,5.80,D,22.65,D,733079,48.72,185.15,252.17,192.61,14.45,100.04,,D,38909,42.35,198.89,99.98,D,225.51,E,102.88,38909,3491.87,D ,Y,6.66470588235,N/A,
38910,2008,2,7,Bulk,LL,LL,,6.12,D,31.81,D,733079,20.88,94.63,83.89,66.37,2.59,25.99,,D,38910,22.45,83.29,52.38,D,112.86,D,28.68,38910,1196.66,D ,Y,12.8127413127,N/A,
38911,2008,3,6,Bulk,TF,YP,,6.37,D,78.94,D,733107,177.03,74.88,85.16,120.76,0.74,29.90,,D,38911,113.62,162.97,77.16,D,172.70,E,16.60,38911,986.21,D ,Y,81.5945945946,N/A,
38912,2008,3,6,Bulk,SF,BE,,3.99,D,194.81,D,733107,94.82,47.73,101.28,140.22,2.96,19.22,,D,38912,141.35,303.75,161.28,D,400.12,D,44.03,38912,1574.56,D ,Y,23.6858108108,N/A,
38913,2008,3,6,Bulk,SF,YP,,5.25,D,23.24,D,733107,84.82,192.97,231.71,229.29,4.08,3.20,,D,38913,148.02,334.79,61.12,D,144.84,D,60.48,38913,2641.30,D ,Y,28.0992647059,N/A,
38914,2008,3,6,Bulk,LL,LL,,5.47,D,185.43,D,733107,122.23,240.28,198.97,217.56,7.41,53.04,,D,38914,214.86,259.95,123.19,D,291.30,D,-17.32,38914,2905.43,D ,Y,14.6801619433,N/A,
38915,2008,3,6,Bulk,LL,LL,,5.82,D,22.74,D,733107,83.95,257.56,197.44,191.62,7.78,11.04,,D,38915,122.43,252.43,47.45,D,124.12,D,53.93,38915,3137.90,D ,Y,12.3149100257,N/A,
38916,2008,3,20,Bulk,BP,BP,,6.08,D,39.91,D,733121,56.98,18.10,4.60,31.44,0.00,3.92,,D,38916,44.91,53.83,30.24,D,72.70,D,2.55,38916,231.23,D ,Y,N/A,N/A,
38917,2008,3,20,Bulk,TF,BE,,5.83,D,106.72,D,733121,80.47,18.10,39.90,32.93,0.37,8.90,,D,38917,56.84,84.86,52.45,D,155.73,D,-3.44,38917,733.65,D ,Y,44.5,N/A,
38918,2008,3,20,Bulk,TF,YP,,5.98,D,53.35,D,733121,63.07,28.80,48.34,40.42,1.11,4.27,,D,38918,56.21,75.97,40.79,D,99.74,D,5.60,38918,561.64,D ,Y,18.2072072072,N/A,
38919,2008,3,20,Bulk,SF,BE,,4.40,D,82.26,D,733121,51.33,19.75,66.24,49.90,1.11,11.39,,D,38919,56.77,116.58,85.84,D,174.80,E,6.70,38919,943.98,D ,Y,22.4774774775,N/A,
38920,2008,3,20,Bulk,SF,YP,,5.43,D,8.12,D,733121,40.02,88.05,140.41,103.29,2.22,3.20,,D,38920,65.39,133.74,34.78,D,87.03,D,44.14,38920,1997.81,D ,Y,23.2635135135,N/A,
38921,2008,3,20,Bulk,LL,LL,,5.97,D,34.35,D,733121,45.24,105.33,98.21,97.80,5.56,41.65,,D,38921,57.63,91.69,48.63,D,113.02,D,30.04,38921,1944.59,D ,Y,8.79496402878,N/A,
38922,2008,3,20,Bulk,LL,LL,,5.91,D,32.89,D,733121,42.19,195.02,136.31,142.71,5.56,16.38,,D,38922,69.77,178.88,78.72,D,143.21,D,31.60,38922,2222.11,D ,Y,12.8336330935,N/A,
40296,2008,4,3,Bulk,BP,Bulk,,7.07,D,410.91,D,733135,380.60,115.61,37.98,144.71,0.00,15.84,,D,40296,363.65,183.60,62.57,D,565.24,D,91.76,40296,407.56,D ,Y,N/A,N/A,
40297,2008,4,3,Bulk,TF,Be,,6.83,D,454.65,D,733135,397.56,103.68,114.83,138.22,1.11,22.07,,D,40297,492.92,310.53,175.94,D,654.97,D,24.38,40297,1043.14,D ,Y,62.2612612613,N/A,
40298,2008,4,3,Bulk,TF,Yp,,6.83,D,229.38,D,733135,366.24,94.63,51.66,116.77,0.74,13.53,,D,40298,393.06,170.95,98.95,D,362.57,D,34.24,40298,681.48,D ,Y,78.8986486486,N/A,
40299,2008,4,3,Bulk,SF,Be,,4.54,D,515.21,D,733135,224.01,39.50,134.78,98.30,2.59,45.92,,D,40299,443.89,471.29,229.55,D,1094.83,D,350.07,40299,2086.73,D ,Y,18.9768339768,N/A,
40300,2008,4,3,Bulk,SF,Yp,,5.39,D,125.66,D,733135,165.72,278.96,269.05,336.33,5.56,6.41,,D,40300,498.12,253.33,105.23,D,377.52,D,146.63,40300,3541.08,D ,Y,30.2455035971,N/A,
40301,2008,4,3,Bulk,LL,LL,,5.41,D,217.00,D,733135,206.61,364.54,167.77,330.34,10.38,82.59,,D,40301,521.56,321.83,141.59,D,432.03,D,73.44,40301,3464.91,D ,Y,15.9123314066,N/A,
40302,2008,4,3,Bulk,LL,LL,,5.79,D,12.45,D,733135,235.32,432.83,181.07,331.84,12.60,26.70,,D,40302,506.41,287.44,35.46,D,130.35,D,82.44,40302,3987.787656,D ,Y,13.1682539683,N/A,
40303,2008,4,7,Bulk,BP,Bulk,,6.88,D,314.22,D,733139,79.16,27.16,34.27,27.45,0.00,12.10,,D,40303,13.86,84.74,15.37,D,628.01,D,298.42,40303,382.82,D ,Y,N/A,N/A,
40304,2008,4,7,Bulk,TF,Be ,,6.96,D,81.81,D,733139,117.88,17.28,0.00,25.95,0.00,25.63,,D,40304,23.70,55.57,48.29,D,154.08,D,23.98,40304,309.78,D ,Y,N/A,N/A,
40305,2008,4,7,Bulk,TF,Yp,,6.85,D,44.57,D,733139,117.66,28.39,7.29,38.67,0.93,17.09,,D,40305,28.61,59.17,31.47,D,95.67,D,19.63,40305,587.96,D ,Y,20.7903225806,N/A,
40306,2008,4,7,Bulk,SF,Be,,4.84,D,703.88,D,733139,225.75,37.85,119.44,98.30,3.71,46.99,,D,40306,450.61,481.36,233.49,D,1131.13,D,193.76,40306,2011.99,D ,Y,13.2479784367,N/A,
40307,2008,4,7,Bulk,SF,Yp,,5.70,D,74.66,D,733139,81.34,125.90,129.92,148.70,3.71,3.56,,D,40307,170.30,148.74,56.00,D,215.08,D,84.42,40307,1981.97,D ,Y,20.0404312668,N/A,
40308,2008,4,7,Bulk,LL,LL,,5.77,D,116.33,D,733139,106.13,151.41,67.52,138.72,5.93,48.77,,D,40308,28.66,24.45,16.36,D,242.35,E,109.65,40308,2028.32,D ,Y,11.6964586847,N/A,
40309,2008,4,7,Bulk,LL,LL,,6.29,D,8.45,D,733139,68.29,143.18,53.96,117.76,7.04,20.29,,D,40309,50.12,85.15,1.21,D,53.9,D,44.23,40309,2365.57,D ,Y,8.36363636364,N/A,
40310,2008,5,17,Bulk,BP,Bulk,,5.29,D,35.34,D,733179,31.32,9.05,0.00,19.96,0.00,2.85,,D,40310,5.45,51.90,38.43,D,97.7,D,23.93,40310,167.31,D ,Y,N/A,N/A,
40311,2008,5,17,Bulk,TF,Be,,6.11,D,53.75,D,733179,59.59,25.51,30.69,35.43,0.37,9.61,,D,40311,9.32,73.72,67.58,D,134.84,D,13.51,40311,627.37,D ,Y,47.8783783784,N/A,
40312,2008,5,17,Bulk,TF,Yp,,4.32,D,0.74,D,733179,46.11,37.03,60.10,49.40,2.22,3.92,,D,40312,10.60,64.23,24.59,D,57.99,D,32.66,40312,6287.37,D ,Y,11.1261261261,N/A,
40313,2008,5,17,Bulk,SF,Be,,5.21,D,64.94,D,733179,13.92,10.70,36.57,13.97,0.37,19.94,,D,40313,9.28,74.01,65.94,D,175.22,E,44.34,40313,652.25884,D ,Y,18.8783783784,N/A,
40314,2008,5,17,Bulk,SF,Yp,,5.54,D,9.70,D,733179,23.05,41.56,59.85,53.14,1.85,3.03,,D,40314,11.83,59.56,31.47,D,98.79,D,57.62,40314,1819.55,D ,Y,14.3621621622,N/A,
40315,2008,5,17,Bulk,LL,LL,,4.39,D,0.70,D,733179,,,,,,,,E,40315,27.85,80.09,ND,D,31.98,D,31.28,40315,,E,Y,N/A,N/A,
40316,2008,5,17,Bulk,LL,LL,,4.75,D,0.57,D,733179,,,,,,,,E,40316,25.24,72.25,ND,D,32.02,D,31.46,40316,,E,Y,N/A,N/A,
40317,2008,6,5,Bulk,BP,BP,,6.49,D,5.39,D,733198,37.84,8.23,138.62,13.97,0.74,12.46,,D,40317,3.08,14.47,10.30,D,27.1,D,11.41,40317,203.25,D ,Y,9.43918918919,N/A,
40318,2008,6,5,Bulk,TF,Be,,6.16,D,4.45,D,733198,60.90,117.67,50.13,39.42,1.11,17.09,,D,40318,6.32,23.90,12.22,D,43.13,D,26.46,40318,1193.55,D ,Y,17.7567567568,N/A,
40319,2008,6,5,Bulk,TF,Yp,,6.40,D,5.47,D,733198,49.59,26.33,37.08,29.94,1.11,6.05,,D,40319,5.24,16.24,ND,D,20.07,D,14.60,40319,1624.45,D ,Y,13.4864864865,N/A,
40320,2008,6,5,Bulk,SF,Be,,6.04,D,76.10,D,733198,5.65,2.47,32.74,6.49,0.37,21.36,,D,40320,9.67,42.67,40.29,D,180.78,E,64.39,40320,1023.720555,D ,Y,8.77027027027,N/A,
40321,2008,6,5,Bulk,SF,Yp,,5.94,D,20.94,D,733198,12.18,30.45,85.16,43.91,1.85,1.78,,D,40321,7.98,45.84,14.35,D,112.92,D,77.62,40321,1953.20,D ,Y,11.8675675676,N/A,
40322,2008,6,5,Bulk,LL,LL,,5.40,D,48.96,D,733198,14.35,196.67,167.26,213.57,9.27,82.24,,D,40322,10.85,32.91,108.88,D,270.27,E,112.42,40322,4333.671899,D ,Y,11.5194174757,N/A,
40323,2008,6,5,Bulk,LL,LL,,4.64,D,0.89,D,733198,15.66,191.73,444.24,197.60,11.86,39.16,,D,40323,25.23,27.20,1.46,D,97.79,D,95.44,40323,,E,Y,8.3305227656,N/A,
40719,2008,7,14,Bulk,BP,BP,BP_Bulk_14 Jul 08,7.13,D,8.39,D,733237,779.47,57.19,25.45,104.79,0.00,186.37,,D,40719,21.17,50.09,23.63,D,61.18,D,29.16,40719,433.75,D,Y,N/A,N/A,
40720,2008,7,14,Seq,BP,BP,BP_Seq1_14 Jul 08,8.15,D,5.23,D,733237,819.48,50.20,22.76,125.75,0.00,334.64,,D,40720,19.90,41.05,23.52,D,62.63,D,33.89,40720,480.33,D,Y,N/A,N/A,
40721,2008,7,14,Seq,BP,BP,BP_Seq2_14 Jul 08,7.77,D,3.65,D,733237,331.45,28.80,13.81,67.37,0.00,145.25,,D,40721,9.74,20.15,11.21,D,27.37,D,12.52,40721,231.56,D,Y,N/A,N/A,
40722,2008,7,14,Seq,BP,BP,BP_Seq3_14 Jul 08,7.69,D,4.13,D,733237,508.91,45.26,14.58,106.79,0.00,272.34,,D,40722,11.12,33.13,15.78,D,37.98,D,18.07,40722,316.34,D,Y,N/A,N/A,
40723,2008,7,14,Bulk,TF,Be,TF_Be_Bulk_14 Jul 08,7.19,D,48.41,D,733237,99.61,67.48,231.45,81.34,0.00,5.70,,D,40723,66.70,109.33,75.82,D,195.59,D,71.36,40723,2302.71,D,Y,N/A,N/A,
40724,2008,7,14,Seq,TF,Be,TF_Be_Seq1_14 Jul 08,7.13,D,61.83,D,733237,810.35,100.39,218.41,198.10,0.00,198.65,,D,40724,45.41,152.20,94.85,D,269.84,D,113.17,40724,2289.32,D,Y,N/A,N/A,
40725,2008,7,14,Seq,TF,Be,TF_Be_Seq2_14 Jul 08,7.22,D,50.71,D,733237,335.36,56.78,138.87,103.79,0.00,98.61,,D,40725,20.80,80.08,47.45,D,143.26,D,45.10,40725,1501.85,D,Y,N/A,N/A,
40726,2008,7,14,Seq,TF,Be,TF_Be_Seq3_14 Jul 08,7.28,D,41.72,D,733237,286.21,55.96,130.94,85.33,0.00,18.51,,D,40726,19.86,71.04,40.73,D,126.33,D,43.88,40726,1551.37,D,Y,N/A,N/A,
40727,2008,7,14,Bulk,TF,Yp,TF_Yp_Bulk_14 Jul 08,7.07,D,57.53,D,733237,53.07,79.82,159.59,108.78,0.37,9.61,,D,40727,43.00,106.28,58.09,D,166.48,D,50.86,40727,1696.67,D,Y,147.0,N/A,
40728,2008,7,14,Seq,TF,Yp,TF_Yp_Seq1_14 Jul 08,7.49,D,29.62,D,733237,1166.37,89.28,100.77,191.37,0.19,331.44,,D,40728,43.81,88.71,47.16,D,155.98,D,79.19,40728,1464.18,D,Y,503.605263158,N/A,
40729,2008,7,14,Seq,TF,Yp,TF_Yp_Seq2_14 Jul 08,7.00,D,9.47,D,733237,514.13,74.06,91.30,113.77,0.00,110.00,,D,40729,99.05,54.85,23.06,D,60.14,D,27.61,40729,1173.09,D,Y,N/A,N/A,
40730,2008,7,14,Bulk,SF,Be,SF_Be_Bulk_14 Jul 08,6.80,D,152.12,D,733237,57.42,32.92,367.26,44.41,0.00,79.03,,D,40730,34.56,196.74,92.49,D,281.22,D,36.61,40730,2012.57,D,Y,N/A,N/A,
40731,2008,7,14,Seq,SF,Be,SF_Be_Seq1_14 Jul 08,6.60,D,326.64,D,733237,160.50,87.23,784.90,115.77,0.74,139.20,,D,40731,87.17,529.08,228.22,D,623.54,D,68.68,40731,3528.69,D,Y,78.222972973,N/A,
40732,2008,7,14,Seq,SF,Be,SF_Be_Seq2_14 Jul 08,6.61,D,190.72,D,733237,75.25,60.89,438.36,75.35,0.00,128.16,,D,40732,43.56,232.91,117.66,D,369.46,D,61.08,40732,2350.80,D,Y,N/A,N/A,
40733,2008,7,14,Seq,SF,Be,SF_Be_Seq3_14 Jul 08,6.67,D,79.02,D,733237,21.75,15.63,235.55,28.94,0.00,51.62,,D,40733,29.82,90.06,51.34,D,154.16,D,23.80,40733,1374.70,D,Y,N/A,N/A,
40734,2008,7,14,Seq,SF,Be,SF_Be_Seq4_14 Jul 08,6.79,D,86.89,D,733237,33.93,18.10,329.15,25.45,0.00,17.44,,D,40734,33.31,111.17,59.90,D,190.14,D,43.36,40734,2016.60,D,Y,N/A,N/A,
40735,2008,7,14,Seq,SF,Be,SF_Be_Seq5_14 Jul 08,6.68,D,53.97,D,733237,17.83,7.41,158.31,13.47,0.00,27.77,,D,40735,32.92,49.15,28.48,D,93.60,D,11.15,40735,1013.22,D,Y,N/A,N/A,
40736,2008,7,14,Seq,SF,Yp,SF_Yp_Seq1_14 Jul 08,7.34,D,201.43,D,733237,490.21,356.31,353.45,310.38,4.82,86.15,,D,40736,53.28,253.12,79.04,D,519.88,D,239.41,40736,4696.00,D,Y,32.1970954357,N/A,
40737,2008,7,14,Bulk,LL,LL,LL_Be_Bulk_14 Jul 08,6.74,D,19.78,D,733237,25.88,144.42,565.08,189.62,7.41,95.41,,D,40737,30.43,123.19,67.16,D,207.78,D,120.85,40737,5502.89,D,Y,12.7948717949,N/A,
40738,2008,7,14,Bulk,LL,LL,LL_Yp_Bulk_14 Jul 08,6.01,D,343.86,D,733237,27.40,1009.67,621.98,1084.33,7.78,40.23,,D,40738,54.76,305.99,1788.01,E,2156.74,D,24.87,40738,7279.26,D,Y,69.6870179949,N/A,
40739,2008,7,21,Bulk,BP,BP,BP_Bulk_21 Jul 08,6.56,D,126.77,D,733244,13.92,26.33,97.44,21.96,0.00,0.71,,D,40739,16.43,50.08,14.73,D,208.78,D,67.28,40739,523.44,D,Y,N/A,N/A,
40740,2008,7,21,Seq,BP,BP,BP_Seq1_21 Jul 08,7.57,D,250.46,D,733244,711.61,90.52,99.49,94.81,0.00,124.24,,D,40740,37.04,100.04,27.18,D,329.46,D,51.82,40740,683.60,D,Y,N/A,N/A,
40741,2008,7,21,Seq,BP,BP,BP_Seq2_21 Jul 08,7.50,D,6.32,D,733244,70.90,20.57,7.93,34.43,0.00,11.04,,D,40741,7.85,24.26,9.53,D,29.86,D,14.01,40741,178.38,D,Y,N/A,N/A,
40742,2008,7,21,Seq,BP,BP,BP_Seq3_21 Jul 08,7.35,D,25.06,D,733244,230.10,37.03,27.11,47.41,0.00,28.84,,D,40742,11.97,39.64,12.31,D,67.30,D,29.93,40742,268.07,D,Y,N/A,N/A,
40743,2008,7,21,Seq,BP,BP,BP_Seq4_21 Jul 08,7.42,D,40.92,D,733244,305.35,45.26,31.20,57.39,0.00,39.16,,D,40743,17.23,42.45,13.28,D,84.01,D,29.82,40743,278.85,D,Y,N/A,N/A,
40744,2008,7,21,Seq,BP,BP,BP_Seq5_21 Jul 08,7.32,D,9.34,D,733244,203.13,45.26,22.51,64.37,0.00,34.18,,D,40744,11.92,48.25,13.77,D,64.88,D,41.77,40744,264.76,D,Y,N/A,N/A,
40745,2008,7,21,Seq,BP,BP,BP_Seq6_21 Jul 08,7.40,D,32.52,D,733244,207.48,44.44,24.30,68.86,0.00,31.33,,D,40745,12.13,50.08,58.78,D,74.03,D,-17.27,40745,212.04,D,Y,N/A,N/A,
40746,2008,7,21,Seq,BP,BP,BP_Seq7_21 Jul 08,7.45,D,14.08,D,733244,197.48,45.67,22.89,67.61,0.00,32.75,,D,40746,12.04,51.93,14.57,D,68.14,D,39.49,40746,204.39,D,Y,N/A,N/A,
40747,2008,7,21,Seq,BP,BP,BP_Seq8_21 Jul 08,7.39,D,24.71,D,733244,154.85,32.92,20.97,47.41,0.00,24.21,,D,40747,8.45,12.00,7.31,D,64.69,D,32.67,40747,284.38,D,Y,N/A,N/A,
40748,2008,7,21,Bulk,TF,Be,TF_Be_Bulk_21 Jul 08,6.88,D,49.83,D,733244,27.40,26.33,68.54,42.42,0.00,4.63,,D,40748,20.47,71.35,32.89,D,87.41,D,4.69,40748,614.97,D,Y,N/A,N/A,
40749,2008,7,21,Seq,TF,Be,TF_Be_Seq1_21 Jul 08,7.07,D,51.96,D,733244,569.81,128.37,202.04,241.02,0.00,170.88,,D,40749,64.52,177.52,111.80,D,222.74,D,58.98,40749 1:1,1549.82,D,Y,N/A,N/A,
40750,2008,7,21,Seq,TF,Be,TF_Be_Seq2_21 Jul 08,6.96,D,49.69,D,733244,72.21,63.36,119.44,95.81,0.00,23.14,,D,40750,42.22,105.79,60.85,D,126.46,D,15.92,40750 1:1,1169.28,D,Y,N/A,N/A,
40751,2008,7,21,Seq,TF,Be,TF_Be_Seq3_21 Jul 08,6.96,D,12.55,D,733244,107.44,48.55,80.31,75.85,0.00,32.04,,D,40751,22.38,73.60,42.07,D,75.32,D,20.70,40751 1:1,946.31,D,Y,N/A,N/A,
40752,2008,7,21,Seq,TF,Be,TF_Be_Seq4_21 Jul 08,7.12,D,24.10,D,733244,85.69,35.38,65.47,58.88,0.00,24.92,,D,40752,21.85,62.92,31.01,D,60.20,D,5.10,40752 1:1,639.53,D,Y,N/A,N/A,
40753,2008,7,21,Seq,TF,Be,TF_Be_Seq5_21 Jul 08,7.12,D,13.94,D,733244,39.58,24.69,41.94,38.92,0.00,11.04,,D,40753,18.97,50.26,20.96,D,39.21,D,4.31,40753 1:1,575.04,D,Y,N/A,N/A,
40754,2008,7,21,Seq,TF,Be,TF_Be_Seq6_21 Jul 08,6.98,D,16.67,D,733244,40.45,27.98,41.69,48.40,0.00,10.68,,D,40754,9.54,62.11,20.99,D,37.71,D,0.05,40754 1:1,531.52,D,Y,N/A,N/A,
40755,2008,7,21,Seq,TF,Be,TF_Be_Seq7_21 Jul 08,6.82,D,18.77,D,733244,46.32,30.45,39.90,49.65,0.00,12.99,,D,40755,5.60,20.82,10.22,D,44.08,D,15.09,40755 1:1,611.99,D,Y,N/A,N/A,
40756,2008,7,21,Seq,TF,Be,TF_Be_Seq8_21 Jul 08,6.81,D,18.99,D,733244,29.58,22.22,39.39,37.92,0.00,8.90,,D,40756,21.52,52.00,20.94,D,41.29,D,1.36,40756 1:1,631.73,D,Y,N/A,N/A,
40757,2008,7,21,Bulk,TF,Yp,TF_Yp_Bulk_21 Jul 08,6.48,D,24.58,D,733244,19.14,26.33,59.33,41.42,0.00,1.42,,D,40757,19.70,59.30,27.50,D,62.76,D,10.68,40757 1:1,674.23,D,Y,N/A,N/A,
